#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                random_bytes.bin|  2.04e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.26801397|  PASSED
      diehard_operm5|   0|   1000000|     100|0.48008027|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.48456778|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.38222778|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.34509197|  PASSED
        diehard_opso|   0|   2097152|     100|0.92672879|  PASSED
        diehard_oqso|   0|   2097152|     100|0.71077916|  PASSED
         diehard_dna|   0|   2097152|     100|0.92853596|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.54885390|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.87536355|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.83907809|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.48251298|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.74266427|  PASSED
     diehard_squeeze|   0|    100000|     100|0.52219033|  PASSED
        diehard_sums|   0|       100|     100|0.09766210|  PASSED
        diehard_runs|   0|    100000|     100|0.87255234|  PASSED
        diehard_runs|   0|    100000|     100|0.95318474|  PASSED
       diehard_craps|   0|    200000|     100|0.27430035|  PASSED
       diehard_craps|   0|    200000|     100|0.60579963|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25746908|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06813853|  PASSED
         sts_monobit|   1|    100000|     100|0.90242589|  PASSED
            sts_runs|   2|    100000|     100|0.02124709|  PASSED
          sts_serial|   1|    100000|     100|0.24944624|  PASSED
          sts_serial|   2|    100000|     100|0.37960851|  PASSED
          sts_serial|   3|    100000|     100|0.69431718|  PASSED
          sts_serial|   3|    100000|     100|0.61641879|  PASSED
          sts_serial|   4|    100000|     100|0.62018507|  PASSED
          sts_serial|   4|    100000|     100|0.81987951|  PASSED
          sts_serial|   5|    100000|     100|0.13587493|  PASSED
          sts_serial|   5|    100000|     100|0.10822632|  PASSED
          sts_serial|   6|    100000|     100|0.07131648|  PASSED
          sts_serial|   6|    100000|     100|0.93915565|  PASSED
          sts_serial|   7|    100000|     100|0.71505947|  PASSED
          sts_serial|   7|    100000|     100|0.20265823|  PASSED
          sts_serial|   8|    100000|     100|0.90470285|  PASSED
          sts_serial|   8|    100000|     100|0.94307828|  PASSED
          sts_serial|   9|    100000|     100|0.61393568|  PASSED
          sts_serial|   9|    100000|     100|0.37901812|  PASSED
          sts_serial|  10|    100000|     100|0.76249655|  PASSED
          sts_serial|  10|    100000|     100|0.92278963|  PASSED
          sts_serial|  11|    100000|     100|0.30296011|  PASSED
          sts_serial|  11|    100000|     100|0.46411326|  PASSED
          sts_serial|  12|    100000|     100|0.83593155|  PASSED
          sts_serial|  12|    100000|     100|0.67122941|  PASSED
          sts_serial|  13|    100000|     100|0.74261103|  PASSED
          sts_serial|  13|    100000|     100|0.81155866|  PASSED
          sts_serial|  14|    100000|     100|0.49416978|  PASSED
          sts_serial|  14|    100000|     100|0.37836388|  PASSED
          sts_serial|  15|    100000|     100|0.99084508|  PASSED
          sts_serial|  15|    100000|     100|0.54208763|  PASSED
          sts_serial|  16|    100000|     100|0.35471251|  PASSED
          sts_serial|  16|    100000|     100|0.94529498|  PASSED
         rgb_bitdist|   1|    100000|     100|0.36716432|  PASSED
         rgb_bitdist|   2|    100000|     100|0.41701852|  PASSED
         rgb_bitdist|   3|    100000|     100|0.65317507|  PASSED
         rgb_bitdist|   4|    100000|     100|0.68619032|  PASSED
         rgb_bitdist|   5|    100000|     100|0.09782952|  PASSED
         rgb_bitdist|   6|    100000|     100|0.04203990|  PASSED
         rgb_bitdist|   7|    100000|     100|0.74707746|  PASSED
         rgb_bitdist|   8|    100000|     100|0.75273497|  PASSED
         rgb_bitdist|   9|    100000|     100|0.30766455|  PASSED
         rgb_bitdist|  10|    100000|     100|0.82277720|  PASSED
         rgb_bitdist|  11|    100000|     100|0.92918400|  PASSED
         rgb_bitdist|  12|    100000|     100|0.66720326|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.88652515|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.11840934|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.14461400|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.30004867|  PASSED
    rgb_permutations|   2|    100000|     100|0.30755254|  PASSED
    rgb_permutations|   3|    100000|     100|0.26515309|  PASSED
    rgb_permutations|   4|    100000|     100|0.94018980|  PASSED
    rgb_permutations|   5|    100000|     100|0.62219449|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.18551321|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.65028541|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.82146618|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.89878017|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.28435922|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.63848426|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.64419473|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.87610734|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.77415891|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.11226637|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.83061377|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.92531774|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.34519768|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.92609320|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.04408907|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.72847339|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.91193391|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.15734409|  PASSED
